国債金利情報 (令和7年10月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R7.10.1,0.792,0.954,1.027,1.161,1.248,1.328,1.416,1.498,1.584,1.663,2.218,2.614,2.935,3.074,3.335
R7.10.2,0.784,0.955,1.022,1.159,1.257,1.336,1.422,1.504,1.593,1.675,2.226,2.622,2.958,3.087,3.353
R7.10.3,0.775,0.945,1.012,1.152,1.241,1.32,1.404,1.491,1.585,1.667,2.222,2.614,2.949,3.072,3.329
R7.10.6,0.73,0.899,0.98,1.12,1.217,1.307,1.404,1.495,1.591,1.677,2.266,2.681,3.057,3.175,3.439
R7.10.7,0.742,0.909,0.995,1.133,1.23,1.315,1.408,1.501,1.596,1.682,2.268,2.677,3.051,3.177,3.429
R7.10.8,0.764,0.93,1.014,1.152,1.252,1.33,1.428,1.52,1.614,1.701,2.282,2.688,3.049,3.164,3.404
R7.10.9,0.755,0.93,1.01,1.148,1.243,1.32,1.419,1.51,1.606,1.697,2.285,2.7,3.059,3.18,3.398
R7.10.10,0.747,0.925,1.004,1.137,1.231,1.312,1.41,1.501,1.602,1.697,2.281,2.693,3.055,3.187,3.385
R7.10.14,0.723,0.895,0.976,1.104,1.195,1.271,1.368,1.463,1.568,1.67,2.275,2.703,3.073,3.218,3.417
R7.10.15,0.724,0.9,0.981,1.11,1.199,1.272,1.366,1.458,1.562,1.662,2.266,2.684,3.047,3.175,3.367
R7.10.16,0.73,0.92,0.999,1.124,1.214,1.29,1.385,1.478,1.571,1.663,2.252,2.663,3.011,3.134,3.34
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
